timestamp_utc,app,active,idle,total,max,pending
2026-09-20T06:49:22Z,app1,0,10,10,10,0
2026-09-20T06:49:22Z,app2,0,10,10,10,0
2026-09-20T06:49:41Z,app2,4,0,10,10,190
2026-09-20T06:49:45Z,app1,1,9,10,10,0
2026-09-20T06:49:45Z,app2,0,10,10,10,0
2026-09-20T06:49:46Z,app1,1,9,10,10,0
2026-09-20T06:49:46Z,app2,0,10,10,10,0
2026-09-20T06:49:48Z,app1,1,9,10,10,0
2026-09-20T06:49:48Z,app2,0,10,10,10,0
2026-09-20T06:49:49Z,app1,0,10,10,10,0
2026-09-20T06:49:49Z,app2,0,10,10,10,0
2026-09-20T06:49:52Z,app1,1,9,10,10,0
2026-09-20T06:49:52Z,app2,0,10,10,10,0
