timestamp_utc,app,active,idle,total,max,pending
2026-09-20T06:52:18Z,app1,0,10,10,10,0
2026-09-20T06:52:18Z,app2,0,10,10,10,0
2026-09-20T06:52:47Z,app1,5,5,10,10,0
2026-09-20T06:52:47Z,app2,6,4,10,10,0
2026-09-20T06:52:49Z,app1,0,10,10,10,0
2026-09-20T06:52:49Z,app2,1,9,10,10,0
2026-09-20T06:52:50Z,app1,0,10,10,10,0
2026-09-20T06:52:50Z,app2,0,10,10,10,0
2026-09-20T06:52:53Z,app1,0,10,10,10,0
2026-09-20T06:52:53Z,app2,1,9,10,10,0
2026-09-20T06:52:55Z,app1,0,10,10,10,0
2026-09-20T06:52:55Z,app2,1,9,10,10,0
2026-09-20T06:52:57Z,app1,0,10,10,10,0
2026-09-20T06:52:57Z,app2,1,9,10,10,0
2026-09-20T06:52:58Z,app1,0,10,10,10,0
2026-09-20T06:52:58Z,app2,0,10,10,10,0
2026-09-20T06:53:00Z,app1,0,10,10,10,0
2026-09-20T06:53:00Z,app2,0,10,10,10,0
2026-09-20T06:53:01Z,app1,0,10,10,10,0
2026-09-20T06:53:01Z,app2,0,10,10,10,0
