timestamp_utc,app,active,idle,total,max,pending
2026-09-19T12:29:32Z,app2,20,0,20,20,42
2026-09-19T12:29:35Z,app1,3,17,20,20,0
2026-09-19T12:29:35Z,app2,6,14,20,20,0
