timestamp_utc,jvm1_cpu_pct,jvm2_cpu_pct,mysql_cpu_pct,redis_coupon_cpu_pct,k6_cpu_pct
2026-09-20T07:42:50Z,6.5,6.6,29.58,1.54,
2026-09-20T07:42:53Z,57.6,67.6,100.08,0.86,95.00
2026-09-20T07:42:56Z,116.0,104.5,121.01,1.92,118.02
2026-09-20T07:42:58Z,70.3,140.1,127.30,2.56,111.93
2026-09-20T07:43:00Z,70.7,61.3,149.25,2.92,106.17
2026-09-20T07:43:02Z,61.6,67.1,124.18,1.20,33.31
2026-09-20T07:43:04Z,102.6,94.8,138.18,4.35,66.28
2026-09-20T07:43:07Z,13.7,61.5,90.50,2.93,
2026-09-20T07:43:10Z,13.3,15.6,14.96,0.48,
