timestamp_utc,app,active,idle,total,max,pending
2026-09-20T11:28:51Z,app1,0,30,30,30,0
2026-09-20T11:28:51Z,app2,0,30,30,30,0
2026-09-20T11:28:53Z,app1,1,29,30,30,0
2026-09-20T11:28:53Z,app2,7,23,30,30,0
2026-09-20T11:28:55Z,app1,2,28,30,30,0
2026-09-20T11:28:55Z,app2,9,21,30,30,0
2026-09-20T11:29:00Z,app1,2,28,30,30,0
2026-09-20T11:29:00Z,app2,2,28,30,30,0
2026-09-20T11:29:01Z,app1,1,29,30,30,0
2026-09-20T11:29:01Z,app2,2,28,30,30,0
2026-09-20T11:29:03Z,app1,0,30,30,30,0
2026-09-20T11:29:03Z,app2,0,30,30,30,0
2026-09-20T11:29:04Z,app1,0,30,30,30,0
2026-09-20T11:29:04Z,app2,0,30,30,30,0
2026-09-20T11:29:06Z,app1,0,30,30,30,0
2026-09-20T11:29:06Z,app2,0,30,30,30,0
