timestamp_utc,app,active,idle,total,max,pending
2026-09-19T09:50:59Z,app1,0,10,10,10,0
2026-09-19T09:50:59Z,app2,0,10,10,10,0
2026-09-19T09:51:01Z,app1,0,10,10,10,0
2026-09-19T09:51:01Z,app2,0,10,10,10,0
2026-09-19T09:51:02Z,app1,0,10,10,10,0
2026-09-19T09:51:02Z,app2,0,10,10,10,0
2026-09-19T09:51:03Z,app1,0,10,10,10,0
2026-09-19T09:51:03Z,app2,0,10,10,10,0
2026-09-19T09:51:04Z,app1,1,9,10,10,0
2026-09-19T09:51:04Z,app2,0,10,10,10,0
2026-09-19T09:51:05Z,app1,0,10,10,10,0
2026-09-19T09:51:05Z,app2,0,10,10,10,0
2026-09-19T09:51:06Z,app1,0,10,10,10,0
2026-09-19T09:51:06Z,app2,0,10,10,10,0
2026-09-19T09:51:08Z,app1,1,9,10,10,0
2026-09-19T09:51:08Z,app2,0,10,10,10,0
2026-09-19T09:51:09Z,app1,3,7,10,10,0
2026-09-19T09:51:09Z,app2,0,10,10,10,0
