timestamp_utc,app,active,idle,total,max,pending
2026-09-20T10:57:05Z,app1,0,30,30,30,0
2026-09-20T10:57:05Z,app2,0,30,30,30,0
2026-09-20T10:57:07Z,app1,24,6,30,30,0
2026-09-20T10:57:07Z,app2,4,26,30,30,0
2026-09-20T10:57:09Z,app1,1,29,30,30,0
2026-09-20T10:57:09Z,app2,2,28,30,30,0
2026-09-20T10:57:11Z,app1,4,26,30,30,0
2026-09-20T10:57:11Z,app2,5,25,30,30,0
2026-09-20T10:57:12Z,app1,2,28,30,30,0
2026-09-20T10:57:12Z,app2,13,17,30,30,0
2026-09-20T10:57:14Z,app1,2,28,30,30,0
2026-09-20T10:57:14Z,app2,1,29,30,30,0
2026-09-20T10:57:16Z,app2,30,0,30,30,4
2026-09-20T10:57:19Z,app1,0,30,30,30,0
2026-09-20T10:57:19Z,app2,0,30,30,30,0
2026-09-20T10:57:20Z,app1,0,30,30,30,0
2026-09-20T10:57:20Z,app2,0,30,30,30,0
2026-09-20T10:57:21Z,app1,0,30,30,30,0
2026-09-20T10:57:21Z,app2,0,30,30,30,0
