timestamp_utc,jvm1_cpu_pct,jvm2_cpu_pct,mysql_cpu_pct,redis_coupon_cpu_pct,k6_cpu_pct
2026-09-20T07:27:20Z,0.9,1.1,12.43,14.43,94.21
2026-09-20T07:27:27Z,77.9,33.8,131.88,2.06,59.74
2026-09-20T07:27:34Z,13.6,6.5,159.96,10.92,
