timestamp_utc,app,active,idle,total,max,pending
2026-09-20T07:48:41Z,app1,0,10,10,10,0
2026-09-20T07:48:41Z,app2,0,10,10,10,0
2026-09-20T07:48:43Z,app1,2,8,10,10,0
2026-09-20T07:48:43Z,app2,3,7,10,10,0
2026-09-20T07:48:45Z,app1,2,8,10,10,0
2026-09-20T07:48:45Z,app2,3,7,10,10,0
2026-09-20T07:48:46Z,app1,7,3,10,10,0
2026-09-20T07:48:46Z,app2,2,8,10,10,0
2026-09-20T07:48:48Z,app1,1,9,10,10,0
2026-09-20T07:48:48Z,app2,2,8,10,10,0
2026-09-20T07:48:49Z,app1,1,9,10,10,0
2026-09-20T07:48:49Z,app2,1,9,10,10,0
2026-09-20T07:48:51Z,app1,4,6,10,10,0
2026-09-20T07:48:51Z,app2,2,8,10,10,0
2026-09-20T07:48:52Z,app2,1,9,10,10,0
2026-09-20T07:48:55Z,app1,0,10,10,10,0
2026-09-20T07:48:55Z,app2,0,10,10,10,0
2026-09-20T07:48:57Z,app1,0,10,10,10,0
2026-09-20T07:48:57Z,app2,0,10,10,10,0
2026-09-20T07:48:58Z,app1,0,10,10,10,0
2026-09-20T07:48:58Z,app2,0,10,10,10,0
