timestamp_utc,innodb_lock_waits,lock_wait_rows
2026-09-19T10:27:45Z,17403,780
2026-09-19T10:27:48Z,18152,703
2026-09-19T10:27:51Z,19633,0
2026-09-19T10:27:54Z,21168,0
