timestamp_utc,innodb_lock_waits,lock_wait_rows
2026-09-19T09:57:48Z,4217,0
2026-09-19T09:57:50Z,4828,136
2026-09-19T09:57:53Z,5558,36
2026-09-19T09:57:56Z,6644,3
2026-09-19T09:57:59Z,7799,0
